"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"152","008","Kits diagnóstico antígenos COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","009","Medicamentos antirretrovirales","Medicamentos utilizados en hospitales, clínicas y policlínicas."
"152","010","Kits diagnóstico tiempo real COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","011","Vacuna Sinovac-COVID 19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020.
Vacuna CORONAVAC- Sinivac Life Science CO.LTD"
"152","012","Vacuna Pfizer COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020.
Vacuna  Laboratorio Pfizer- Export BV Co. Ltda."
"152","013","Vacuna AstraZeneca COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","014","Insumos para equipos diagnóstico COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","015","Insumos para estudios de diagnóstico COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020. Resolución ASSE Nº 628/2021 del 08/04/21."
"152","016","Medicamentos para pacientes COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","017","Suplemento alimentario pacientes CTI COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"152","018","Vacunas fiebre aftosa","Creado en Rendición de Cuentas 2021 en el Inc 07 (MGAP) UE 005 Prog. 320 Proy 000, se asigna una partida para la compra de vacunas contra la fiebra aftosa a partir del ejercicio 2023 y una partida partida para el ejercicio 2022 con la finalidad de regularizar los adelantos efectuados con cargo a Rentas Generales.Se habilitó el objeto 153/001 Vacunas fiebre Aftosa a donde se pasará el,crédito para que quede bien registrado."
"152","027","Medicamentos al amparo Ordenanza 692/16 MSP","Clasificación solicitada p/Inc.12, MSP para identificar cuando los usuarios aportan un porcentaje del gasto p/concepto de ""Medicamentos"" y el MSP aporta el resto, en cumplimiento a la Ordenanza 692/16 MSP de 26/08/2016. Habilitado forma expresa p/Inc. 12, Ej. 2024. No traspone p/Matriz. Se solicita p/GMAP."
"153","000","Productos veterinarios","Medicamentos y drogas utilizado en clínicas veterinarias."
"153","001","Vacunas fiebre aftosa","Creado Rtas. Gles. 2021 en Inc 07 (MGAP) UE 005 Prog. 320 Proy 000, asigna Partida p/compra de vacunas contra la fiebre aftosa a partir del Ej. 2023 y una partida p/Ej. 2022 con la finalidad de regularizar los adelantos efectuados c/cargo a Rtas. Gles. Se habilitó este objeto para pasar el crédito desde el 152/018 para que quede bien registrado. Habilitado en forma expresa. Ej. 2024. Res. 012742 de 14/12/2023 p/Inc. 07"
"153","002","Vacunas Influenza Aviar","Codifica Obj./Gto asignado p/compra de vacunas p/Influenza Aviar. Res. de Emergencia Sanitaria p/Influenza Aviar, 5/02/2023 
Nota Gia. Financiera del Inciso 07, de 28/03/2023. Habilitado en forma expresa. Ej. 2024. Res. 012742 de 14/12/2023"
"154","000","Compuestos químicos, tintas y pinturas","Compuestos químicos como gases industriales, refrigerantes, radioactivos y alcoholes. 
Tintas para escribir, dibujar o imprimir. Pinturas, barnices, esmaltes y lacas. Masillas y similares, disolventes, diluyentes y removedores de pintura."
"154","001","Oxígeno (UCAMAE)","Auxiliar solicitado por ASSE, para poder diferenciarlos a los efectos del control del concepto del gasto, según Nota del 18  de Mayo de 2005, hasta que no se instrumente la captura de la información a través del Sistema de Compras (SICE)"
"154","002","Reactivos (UCAMAE)","Auxiliar solicitado por ASSE, para poder diferenciarlos a los efectos del control del concepto del gasto, según Nota del 18  de Mayo de 2005, hasta que no se instrumente la captura de la información a través del Sistema de Compras (SICE)"
"154","003","Oxígeno líquido-Sector Salud","Auxiliar solicitado por ASSE, para poder diferenciarlos a los efectos del control del concepto del gasto, según Nota del 18  de Mayo de 2005, hasta que no se instrumente la captura de la información a través del Sistema de Compras (SICE)"
"154","004","Oxígeno balones-Sector Salud","Auxiliar solicitado por ASSE, para poder diferenciarlos a los efectos del control del concepto del gasto, según Nota del 18  de Mayo de 2005, hasta que no se instrumente la captura de la información a través del Sistema de Compras (SICE)"
"154","005","Oxígeno COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"154","006","Análisis clínicos pacientes COVID - 19","Codifica los gastos ocasionados por la Pandemia del COVID 19.Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"155","000","Abonos, fertilizantes, fumigantes, etc.","Abonos y fertilizantes en todas sus formas por ejemplo: Urea, amoníaco, insecticidas, herbicidas, fungicidas, plaguicidas, herbicidas, productos antigerminantes, desinfectantes y otros similares."
"156","000","Productos plásticos, acrílicos y similares","Productos de plástico, acrílico y otros materiales sintéticos, presentados en diversas formas: bolsas, tubos, placas , etc."
"157","000","Artículos de caucho","Productos de caucho en sus diversas formas como por ejemplo: Neumáticos, mangueras, correas, revestimientos, etc."
"158","000","Municiones y explosivos","Productos tales como balas, perdigones, cargas para armas de fuego y sustancias explosivas. Objeto/gasto habilitado en forma expresa, no podrá ser reforzante por Ley 19.355 2015-2019 - Inciso 03 ""MDN"".
Habilitado forma expresa. Res. 012742 de 14/12/2023 p/ Inc. 03 Ejercicio 2024.  No traspone por Matriz. Se solicita p/GMAP.
"
"159","000","Otros productos químicos derivados del petróleo y conexos","Otros productos químicos y conexos no clasificados en los objetos del gasto anteriores."
"161","000","Productos de loza, cerámica y similares","Productos de loza, cerámica y similares tales como accesorios de fontanería de loza vidriada o loza y barro, loza artística decorativa industrial y de laboratorio, así como objetos de piedra calcárea, granito, mármoles y barro."
"162","000","Productos de vidrio","Productos de vidrio, crstales, espejos, vidrios ópticos, recipientes, y firbra de vidrio."
"163","000","Materiales de construcción","Materiales relacionados con la construcción como por ejemplo: ladrillos, cal, arena, pedregullo,cemento, baldosas,azulejos,etc."
"163","001","Materiales de construcción - Convenio","Para uso exclusivo de Obligaciones de Tipo de Ejecución - Regularización por Compensación
"
"164","000","Petróleo y gas natural","Petróleo y gas natural para uso como combustible en la producción de bienes y servicios. Comoo insumo"
"169","000","Otros productos minerales","Otros productos minerales no metálicos no  incluidos en los objetos anteirores."
"171","000","Productos básicos de hierro y acero","Productos de hierro y acero en lingotes y otras formas de hierro y acero de aleación en estado semiacabado, hojas, planchas, rollos, barras, varillas, perfiles, etc."
"172","000","Productos básicos metálicos no ferrosos","Adquisición de productos no ferrosos como oro, plata, platino, cobre, plomo, y otros metales comunes no ferrosos y sus aleaciones, ya sea sin elaborar, semielaborados y sus manufacturas."
"173","000","Accesorios metálicos","Adquisición de accesorios metálicos, tales como tornillería, resortes de acero, tubos plegables,artículos de plomería, de ferretería, herrajes, y productos metálicos pequeños, tales como repuestos menores y envases de hojalata,etc."
"174","000","Estructuras metálicas acabadas","Estructuras metálicas y sus partes elaboradas en acero y productos similares, tales como columnas, vigas, armaduras, puertas, ventanas y sus marcos, postigos, carpintería metálica utilizada en la construcción, rejas y celosías, etc."
"174","001","Estructuras metálicas acabadas COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19. 
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"175","000","Material y equipo bélico","Material y equipo bélico, como armas portátiles, artillería pesada y ligera."
"176","000","Herramientas menores","Herramientas menores tales como: destornilladores, hachas, alicates, azadas, limas, martillos, palas, y otras herramientas para campo y jardín, sierras a mano y herramientas para plomeros, albañiles, mecánicos, etc."
"179","000","Otros productos metálicos","Otros podructos metálicos no clasificados en los objetos anteriores."
"191","000","Útiles de oficina","Elementos necesarios para el funcionamiento normal de las oficinas, tales como útiles para escritorio, tintas, material fotográfico, ceniceros, lápices y otros elementos para escribir, cintas para máquina e impresoras, engrapadoras, tacos para almanaques, archivadores de mesa, etc."
"192","000","Elementos de limpieza y de aseo","Materiales para limpierza, lavandería, y menage doméstico, tales como: jabones, escobas, lavandinas, ceras, y otros productos similares."
"192","001","Desinfectantes, amoníaco, alcohol en gel, etc. COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"192","002","Elementos de limpieza y aseo COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020.
Nota del SINAE en mail de 28/04/2020"
"193","000","Artículos y accesorios eléctricos","Aparatos y accesorios eléctricos, de uso común en instalaciones en oficinas tales como: lamparillas, y tubos eléctricos, apliques eléctricos, enchufes, iinterruptores, conectores de cables, y otros dispositivos alámbricos portadores de corriente, cables y almbres con aislamiento, etc."
"193","001","Artículos y accesorios eléctricos COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe transposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020. Nota Cr Central del Inciso de fecha 7/10/2020. Habilitado forma expresa. Ej. 2024. Res. 012742 de 14/12/2023."
"194","000","Artículos menores médico quirúrgicos","Utiles menores y elementos descartables médico-quirúrgicos, pro ejemplo jeringas, agujas, gasas, vendajes, guantes de cirugía, termómetros, etc. Objeto de gasto habilitado en forma expresa, no podran ser reforzante por Ley de Pto Nal. 19.355 2015-2019 para los Incisos 03 ""MDN"", 04 ""MI"" y 12 ""MSP"". Habilitado forma expresa para los Incisos 03 - 04 y 12. Res. 012742 de 14/12/2023, Inc. 03, 04 y 12. No traspone por Matriz . Solicita p/GMAP.
"
"194","001","Artículos médico quirúrgicos p/ gastos por amparos judicial","A solicitud del MSP de fecha 27/7/2012 (p/mail). Obj./Gasto habilitado forma expresa, no podar ser reforzante por Ley Pto. Nal. 19.355 2015-2019, Inc 12 MSP"".
Habilitado forma expresa p/Inc. 12, Ej. 2024, Res. 012742 de 14/12/2023. No traspone por Matriz. Se solicita p/GMAP."
"194","002","Tapabocas COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"194","003","Vestimenta descartable COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19. Incluye guantes.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"194","004","Termómetros COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19. 
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"194","005","Jeringas COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19. 
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"194","006","Suero fisiológico COVID - 19","Codifica los gastos ocasionados por la Pandemia del COVID 19. 
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
